City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Palmer,US,2021-04-09 17:05:28,42.1584,-72.3287,69.01,45,20,4.61
237,Epe,NG,2021-04-09 17:05:28,6.5841,3.9834,84.18,74,95,9.75
238,Upernavik,GL,2021-04-09 17:05:28,72.7868,-56.1549,27.55,92,100,13.87
239,Ahuimanu,US,2021-04-09 17:05:29,21.4447,-157.8378,71.6,60,40,4.61
240,Iberia,US,2021-04-09 17:00:33,29.9502,-91.7507,78.8,83,90,13.8
241,Nago,JP,2021-04-09 17:05:29,26.5881,127.9761,69.8,64,75,14.97
242,Kamenka,RU,2021-04-09 17:05:30,51.3223,42.7678,43.0,64,93,8.95
243,Jablah,SY,2021-04-09 17:03:01,35.3614,35.9256,60.8,77,75,10.36
244,Bainbridge,US,2021-04-09 17:04:03,47.6262,-122.5212,46.0,70,20,12.66
245,Broome,US,2021-04-09 17:05:30,42.2506,-75.833,62.01,62,90,5.75
246,Pevek,RU,2021-04-09 17:05:30,69.7008,170.3133,-22.95,96,50,2.91
247,Valverde Del Camino,ES,2021-04-09 17:05:31,37.5751,-6.7543,66.0,57,97,5.99
248,Arrecife,ES,2021-04-09 17:05:31,28.963,-13.5477,71.6,78,40,5.75
249,Klaksvik,FO,2021-04-09 17:05:31,62.2266,-6.589,33.8,69,75,26.46
250,Birin,NP,2021-04-09 17:05:32,26.8865,88.0718,59.34,57,1,3.13
251,Raudeberg,NO,2021-04-09 17:05:32,61.9875,5.1352,36.0,84,99,16.33
252,Mugur-Aksy,RU,2021-04-09 17:05:33,50.35,90.5,22.6,91,100,7.47
253,Port Macquarie,AU,2021-04-09 17:05:33,-31.4333,152.9167,64.0,99,0,9.13
254,Yangambi,CD,2021-04-09 17:05:33,0.8102,24.4336,73.45,74,100,2.93
255,Isla Vista,US,2021-04-09 17:05:33,34.4133,-119.861,62.6,67,1,6.91
256,Chicama,PE,2021-04-09 17:05:34,-7.8447,-79.1469,69.8,83,90,8.05
257,Yatou,CN,2021-04-09 17:05:34,37.15,122.3833,45.07,49,54,4.76
258,Lufkin,US,2021-04-09 17:02:43,31.3382,-94.7291,80.01,65,75,13.8
259,Puerto Escondido,MX,2021-04-09 17:05:35,15.85,-97.0667,86.0,74,1,11.5
260,Katsuura,JP,2021-04-09 17:05:35,35.1333,140.3,48.99,32,100,20.11
261,Sao Joao Da Barra,BR,2021-04-09 17:05:07,-21.6403,-41.0511,84.2,45,20,9.22
262,Cherskiy,RU,2021-04-09 17:05:35,68.75,161.3,-8.54,84,100,2.26
263,Atikokan,CA,2021-04-09 17:05:36,48.7555,-91.6216,48.54,97,100,5.23
264,Saint-Francois,FR,2021-04-09 17:05:36,46.4154,3.9054,61.0,44,0,19.57
265,Richards Bay,ZA,2021-04-09 17:05:36,-28.783,32.0377,70.11,85,5,2.33
266,Sao Felix Do Xingu,BR,2021-04-09 17:05:37,-6.6447,-51.995,91.33,46,47,5.5
267,Kortkeros,RU,2021-04-09 17:05:37,61.8106,51.5806,39.2,56,20,6.71
268,Sirajganj,BD,2021-04-09 17:03:04,24.45,89.7167,78.78,72,97,8.81
269,Palu,ID,2021-04-09 17:05:38,-0.8917,119.8707,75.7,94,100,2.39
270,Taraz,KZ,2021-04-09 17:05:38,42.9,71.3667,55.4,44,3,6.71
271,Les Cayes,HT,2021-04-09 17:05:38,18.2,-73.75,81.57,70,85,9.35
272,Ararat,AM,2021-04-09 17:05:39,39.8317,44.7049,71.6,23,75,9.22
273,Mackay,AU,2021-04-09 17:05:39,-21.15,149.2,73.4,94,59,5.75
274,Petatlan,MX,2021-04-09 17:05:39,17.5167,-101.2667,84.2,58,1,9.22
275,Veraval,IN,2021-04-09 17:05:40,20.9,70.3667,80.89,70,0,10.87
276,Avanigadda,IN,2021-04-09 17:05:40,16.0215,80.9181,82.4,69,22,4.61
277,Hamilton,US,2021-04-09 17:05:40,39.1834,-84.5333,73.99,43,1,13.8
278,Fare,PF,2021-04-09 17:05:41,-16.7,-151.0167,81.1,72,53,7.27
279,Najran,SA,2021-04-09 17:05:41,17.4924,44.1277,86.0,12,20,11.5
280,Kodiak,US,2021-04-09 17:05:41,57.79,-152.4072,23.0,28,1,20.71
281,Lumberton,US,2021-04-09 17:05:42,34.6182,-79.0086,81.0,50,40,5.75
282,Straumen,NO,2021-04-09 17:05:42,63.8709,11.2999,36.0,93,90,19.57
283,Ust-Kuyga,RU,2021-04-09 17:05:42,70.0167,135.6,-20.92,99,72,7.92
284,Djibo,BF,2021-04-09 17:05:43,14.1022,-1.6306,105.04,4,1,8.88
